Date,ATM_ID,Withdrawal_Amount,Day_of_Week,Holiday_Flag
2022-01-01,ATM_1,1687.86,Saturday,1
2022-01-01,ATM_2,1990.14,Saturday,1
2022-01-01,ATM_3,2591.79,Saturday,1
2022-01-01,ATM_4,1894.2,Saturday,1
2022-01-01,ATM_5,4447.89,Saturday,1
2022-01-02,ATM_1,2076.61,Sunday,0
2022-01-02,ATM_2,4910.28,Sunday,0
2022-01-02,ATM_3,4770.0,Sunday,0
2022-01-02,ATM_4,1880.21,Sunday,0
2022-01-02,ATM_5,1520.64,Sunday,0
2022-01-03,ATM_1,3136.61,Monday,0
2022-01-03,ATM_2,2073.27,Monday,0
2022-01-03,ATM_3,3168.79,Monday,0
2022-01-03,ATM_4,4888.75,Monday,0
2022-01-03,ATM_5,2476.19,Monday,0
2022-01-04,ATM_1,1065.64,Tuesday,0
2022-01-04,ATM_2,3660.24,Tuesday,0
2022-01-04,ATM_3,3013.17,Tuesday,0
2022-01-04,ATM_4,2530.36,Tuesday,0
2022-01-04,ATM_5,4216.13,Tuesday,0
2022-01-05,ATM_1,1266.19,Wednesday,0
2022-01-05,ATM_2,4922.33,Wednesday,0
2022-01-05,ATM_3,2088.88,Wednesday,0
2022-01-05,ATM_4,3887.67,Wednesday,0
2022-01-05,ATM_5,3094.18,Wednesday,0
2022-01-06,ATM_1,2875.13,Thursday,0
2022-01-06,ATM_2,2494.2,Thursday,0
2022-01-06,ATM_3,2497.41,Thursday,0
2022-01-06,ATM_4,2209.74,Thursday,0
2022-01-06,ATM_5,2469.24,Thursday,0
2022-01-07,ATM_1,2018.49,Friday,0
2022-01-07,ATM_2,1800.73,Friday,0
2022-01-07,ATM_3,2200.71,Friday,0
2022-01-07,ATM_4,2833.87,Friday,0
2022-01-07,ATM_5,2171.52,Friday,0
2022-01-08,ATM_1,2627.25,Saturday,0
2022-01-08,ATM_2,1103.78,Saturday,0
2022-01-08,ATM_3,4223.7,Saturday,0
2022-01-08,ATM_4,2676.26,Saturday,0
2022-01-08,ATM_5,1710.03,Saturday,0
2022-01-09,ATM_1,2063.91,Sunday,0
2022-01-09,ATM_2,3995.39,Sunday,0
2022-01-09,ATM_3,4799.48,Sunday,0
2022-01-09,ATM_4,4652.17,Sunday,0
2022-01-09,ATM_5,3534.07,Sunday,0
2022-01-10,ATM_1,769.93,Monday,0
2022-01-10,ATM_2,1876.31,Monday,0
2022-01-10,ATM_3,744.53,Monday,0
2022-01-10,ATM_4,2236.17,Monday,0
2022-01-10,ATM_5,1821.06,Monday,0
2022-01-11,ATM_1,1606.03,Tuesday,0
2022-01-11,ATM_2,513.57,Tuesday,0
2022-01-11,ATM_3,1078.79,Tuesday,0
2022-01-11,ATM_4,2083.5,Tuesday,0
2022-01-11,ATM_5,2355.54,Tuesday,0
2022-01-12,ATM_1,1849.7,Wednesday,0
2022-01-12,ATM_2,2056.82,Wednesday,0
2022-01-12,ATM_3,1889.99,Wednesday,0
2022-01-12,ATM_4,2079.31,Wednesday,0
2022-01-12,ATM_5,2853.64,Wednesday,0
2022-01-13,ATM_1,1557.75,Thursday,0
2022-01-13,ATM_2,520.07,Thursday,0
2022-01-13,ATM_3,1207.82,Thursday,0
2022-01-13,ATM_4,940.39,Thursday,0
2022-01-13,ATM_5,1255.61,Thursday,0
2022-01-14,ATM_1,2903.05,Friday,0
2022-01-14,ATM_2,1721.02,Friday,0
2022-01-14,ATM_3,615.83,Friday,0
2022-01-14,ATM_4,833.4,Friday,0
2022-01-14,ATM_5,1275.28,Friday,0
2022-01-15,ATM_1,2921.65,Saturday,0
2022-01-15,ATM_2,2068.74,Saturday,0
2022-01-15,ATM_3,4962.56,Saturday,0
2022-01-15,ATM_4,2065.71,Saturday,0
2022-01-15,ATM_5,1308.49,Saturday,0
2022-01-16,ATM_1,2112.87,Sunday,0
2022-01-16,ATM_2,3430.03,Sunday,0
2022-01-16,ATM_3,1023.02,Sunday,0
2022-01-16,ATM_4,3261.58,Sunday,0
2022-01-16,ATM_5,2374.81,Sunday,0
2022-01-17,ATM_1,886.3,Monday,0
2022-01-17,ATM_2,1452.59,Monday,0
2022-01-17,ATM_3,1182.82,Monday,0
2022-01-17,ATM_4,995.41,Monday,0
2022-01-17,ATM_5,740.66,Monday,0
2022-01-18,ATM_1,1601.37,Tuesday,0
2022-01-18,ATM_2,1558.44,Tuesday,0
2022-01-18,ATM_3,2375.16,Tuesday,0
2022-01-18,ATM_4,610.51,Tuesday,0
2022-01-18,ATM_5,1500.09,Tuesday,0
2022-01-19,ATM_1,1569.74,Wednesday,0
2022-01-19,ATM_2,1599.99,Wednesday,0
2022-01-19,ATM_3,1701.08,Wednesday,0
2022-01-19,ATM_4,985.77,Wednesday,0
2022-01-19,ATM_5,1180.62,Wednesday,0
2022-01-20,ATM_1,1902.7,Thursday,0
2022-01-20,ATM_2,2779.42,Thursday,0
2022-01-20,ATM_3,1586.32,Thursday,0
2022-01-20,ATM_4,2551.08,Thursday,0
2022-01-20,ATM_5,2381.36,Thursday,0
2022-01-21,ATM_1,638.48,Friday,0
2022-01-21,ATM_2,1431.23,Friday,0
2022-01-21,ATM_3,1314.45,Friday,0
2022-01-21,ATM_4,2362.27,Friday,0
2022-01-21,ATM_5,1242.25,Friday,0
2022-01-22,ATM_1,2364.01,Saturday,0
2022-01-22,ATM_2,4694.11,Saturday,0
2022-01-22,ATM_3,3523.1,Saturday,0
2022-01-22,ATM_4,3892.45,Saturday,0
2022-01-22,ATM_5,3587.58,Saturday,0
2022-01-23,ATM_1,1845.41,Sunday,0
2022-01-23,ATM_2,1474.88,Sunday,0
2022-01-23,ATM_3,2432.56,Sunday,0
2022-01-23,ATM_4,1843.68,Sunday,0
2022-01-23,ATM_5,1115.86,Sunday,0
2022-01-24,ATM_1,2424.23,Monday,0
2022-01-24,ATM_2,719.21,Monday,0
2022-01-24,ATM_3,909.48,Monday,0
2022-01-24,ATM_4,2562.14,Monday,0
2022-01-24,ATM_5,2910.88,Monday,0
2022-01-25,ATM_1,585.72,Tuesday,0
2022-01-25,ATM_2,621.79,Tuesday,0
2022-01-25,ATM_3,574.62,Tuesday,0
2022-01-25,ATM_4,2877.62,Tuesday,0
2022-01-25,ATM_5,2349.66,Tuesday,0
2022-01-26,ATM_1,1635.22,Wednesday,0
2022-01-26,ATM_2,1653.2,Wednesday,0
2022-01-26,ATM_3,2507.27,Wednesday,0
2022-01-26,ATM_4,1234.55,Wednesday,0
2022-01-26,ATM_5,1410.03,Wednesday,0
2022-01-27,ATM_1,786.85,Thursday,0
2022-01-27,ATM_2,678.1,Thursday,0
2022-01-27,ATM_3,1448.96,Thursday,0
2022-01-27,ATM_4,874.67,Thursday,0
2022-01-27,ATM_5,2899.45,Thursday,0
2022-01-28,ATM_1,1894.33,Friday,0
2022-01-28,ATM_2,1900.59,Friday,0
2022-01-28,ATM_3,1325.31,Friday,0
2022-01-28,ATM_4,2295.79,Friday,0
2022-01-28,ATM_5,1279.53,Friday,0
2022-01-29,ATM_1,4154.4,Saturday,0
2022-01-29,ATM_2,1690.9,Saturday,0
2022-01-29,ATM_3,2221.57,Saturday,0
2022-01-29,ATM_4,3673.22,Saturday,0
2022-01-29,ATM_5,3737.86,Saturday,0
2022-01-30,ATM_1,4713.58,Sunday,0
2022-01-30,ATM_2,1924.36,Sunday,0
2022-01-30,ATM_3,3261.56,Sunday,0
2022-01-30,ATM_4,4089.53,Sunday,0
2022-01-30,ATM_5,3463.14,Sunday,0
2022-01-31,ATM_1,762.66,Monday,0
2022-01-31,ATM_2,2823.39,Monday,0
2022-01-31,ATM_3,2681.05,Monday,0
2022-01-31,ATM_4,1706.54,Monday,0
2022-01-31,ATM_5,1442.02,Monday,0
2022-02-01,ATM_1,2067.45,Tuesday,0
2022-02-01,ATM_2,2280.33,Tuesday,0
2022-02-01,ATM_3,4024.53,Tuesday,0
2022-02-01,ATM_4,3751.8,Tuesday,0
2022-02-01,ATM_5,2832.77,Tuesday,0
2022-02-02,ATM_1,4647.35,Wednesday,0
2022-02-02,ATM_2,4262.57,Wednesday,0
